Division,MatchDate,MatchTime,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,Over25,Under25,MaxOver25,MaxUnder25,HandiSize,HandiHome,HandiAway,C_LTH,C_LTA,C_VHD,C_VAD,C_HTB,C_PHB,Season
E0,2015-08-08,,Bournemouth,Aston Villa,1597.08,1580.38,7.0,13.0,3.0,6.0,0.0,1.0,A,0.0,0.0,D,11.0,7.0,2.0,3.0,13.0,13.0,6.0,3.0,3.0,4.0,0.0,0.0,2.0,3.6,4.0,2.1,3.65,4.33,2.02,1.79,2.11,1.88,-0.5,1.93,1.92,0.0594,0.1948,0.2077,0.0267,0.3183,0.193,2015-2016
E0,2015-08-08,,Chelsea,Swansea,1893.44,1673.08,4.0,10.0,3.0,9.0,2.0,2.0,D,2.0,1.0,H,11.0,18.0,3.0,10.0,15.0,16.0,4.0,8.0,1.0,3.0,1.0,0.0,1.36,5.0,11.0,1.43,5.0,11.26,1.8,1.99,1.88,2.07,-1.5,2.16,1.73,0.2955,0.1524,0.4327,0.01,0.0833,0.0262,2015-2016
E0,2015-08-08,,Everton,Watford,1709.04,1576.56,3.0,6.0,7.0,13.0,2.0,2.0,D,0.0,1.0,A,10.0,11.0,5.0,5.0,7.0,13.0,8.0,2.0,1.0,2.0,0.0,0.0,1.7,3.9,5.5,1.75,4.0,5.77,1.84,1.96,1.93,2.03,-1.0,2.18,1.71,0.0426,0.1409,0.0903,0.0149,0.5482,0.1631,2015-2016
E0,2015-08-08,,Leicester,Sunderland,1636.1,1607.61,7.0,10.0,2.0,8.0,4.0,2.0,H,3.0,0.0,H,19.0,10.0,8.0,5.0,13.0,17.0,6.0,3.0,2.0,4.0,0.0,0.0,1.95,3.5,4.33,2.03,3.5,4.52,2.18,1.67,2.27,1.73,-0.5,1.95,1.9,0.0461,0.8358,0.0268,0.0227,0.0317,0.037,2015-2016
E0,2015-08-08,,Man United,Tottenham,1812.81,1733.16,5.0,5.0,6.0,7.0,1.0,0.0,H,1.0,0.0,H,9.0,9.0,1.0,4.0,12.0,12.0,1.0,2.0,2.0,3.0,0.0,0.0,1.65,4.0,6.0,1.71,4.2,6.5,1.79,2.01,1.86,2.13,-1.0,2.09,1.78,0.0257,0.2872,0.0167,0.0653,0.2419,0.3632,2015-2016
E0,2015-08-08,,Norwich,Crystal Palace,1617.68,1649.26,4.0,10.0,6.0,6.0,1.0,3.0,A,0.0,1.0,A,17.0,11.0,6.0,7.0,14.0,20.0,1.0,4.0,1.0,0.0,0.0,0.0,2.55,3.3,3.0,2.63,3.42,3.11,2.18,1.67,2.25,1.75,0.0,1.78,2.08,0.0111,0.0597,0.8073,0.0099,0.102,0.0099,2015-2016
E0,2015-08-09,,Arsenal,West Ham,1853.7,1609.12,5.0,8.0,0.0,4.0,0.0,2.0,A,0.0,1.0,A,22.0,8.0,6.0,4.0,12.0,9.0,5.0,4.0,1.0,3.0,0.0,0.0,1.29,6.0,12.0,1.33,6.16,12.0,1.64,2.22,1.71,2.3,-1.5,1.89,1.96,0.189,0.0345,0.0099,0.6562,0.0896,0.0208,2015-2016
E0,2015-08-09,,Newcastle,Southampton,1590.1,1717.73,4.0,4.0,3.0,4.0,2.0,2.0,D,1.0,1.0,D,9.0,15.0,4.0,5.0,9.0,12.0,6.0,6.0,2.0,4.0,0.0,0.0,2.88,3.3,2.7,2.88,3.47,2.76,2.14,1.7,2.23,1.8,0.0,1.98,1.87,0.1119,0.6324,0.01,0.1573,0.0246,0.0638,2015-2016
E0,2015-08-09,,Stoke,Liverpool,1700.78,1755.3,7.0,8.0,1.0,4.0,0.0,1.0,A,0.0,0.0,D,7.0,8.0,1.0,3.0,9.0,16.0,3.0,5.0,2.0,4.0,0.0,0.0,3.4,3.4,2.3,3.51,3.51,2.35,2.06,1.75,2.15,1.82,0.3,1.95,1.91,0.0098,0.013,0.0098,0.9269,0.0306,0.0098,2015-2016
E0,2015-08-10,,West Brom,Man City,1638.09,1884.95,4.0,8.0,9.0,15.0,0.0,3.0,A,0.0,2.0,A,9.0,19.0,2.0,7.0,12.0,9.0,6.0,6.0,4.0,1.0,0.0,0.0,5.75,4.0,1.67,6.5,4.1,1.72,1.77,2.04,1.84,2.15,1.0,1.74,2.14,0.1042,0.0664,0.0099,0.7778,0.0122,0.0294,2015-2016
E0,2015-08-14,,Aston Villa,Man United,1580.38,1812.81,3.0,9.0,5.0,8.0,0.0,1.0,A,0.0,1.0,A,5.0,9.0,1.0,2.0,14.0,10.0,3.0,5.0,2.0,2.0,0.0,0.0,5.5,3.8,1.73,6.0,4.0,1.76,2.11,1.71,2.19,1.79,0.8,1.95,1.91,0.0501,0.318,0.0574,0.0371,0.5119,0.0256,2015-2016
